country,region,ewaste_mill_kg,ewaste_kg_capita,collected_recycled_mill_kg,national_policy,epr,collection_target,recycling_target,country_short,income,policy_level
Malta,Europe,8,14.1,3.2,TRUE,TRUE,TRUE,TRUE,Malta,high,4
Marshall Is.,Oceania,0,3,NA,FALSE,FALSE,FALSE,FALSE,Marshall Is.,middle,0
Mauritania,Africa,12,2.7,NA,FALSE,FALSE,FALSE,FALSE,Mauritania,middle,0
Mauritius,Africa,16,12.1,0.1,FALSE,FALSE,FALSE,FALSE,Mauritius,middle,0
Mexico,Americas,1499,11.8,52.6,TRUE,FALSE,FALSE,FALSE,Mexico,middle,1
Micronesia,Oceania,0,1.9,NA,FALSE,FALSE,FALSE,FALSE,Micronesia,middle,0
Mongolia,Asia,20,5.9,NA,FALSE,FALSE,FALSE,FALSE,Mongolia,middle,0
Montenegro,Europe,8,13,0.2,TRUE,FALSE,FALSE,FALSE,Montenegro,middle,1
Morocco,Africa,177,4.8,NA,FALSE,FALSE,FALSE,FALSE,Morocco,middle,0
Mozambique,Africa,20,0.6,NA,FALSE,FALSE,FALSE,FALSE,Mozambique,low,0
Myanmar,Asia,76,1.4,NA,FALSE,FALSE,FALSE,FALSE,Myanmar,middle,0
Namibia,Africa,17,6.8,0.03,FALSE,FALSE,FALSE,FALSE,Namibia,middle,0
Nauru,Oceania,0,6.3,NA,FALSE,FALSE,FALSE,FALSE,Nauru,high,0
Nepal,Asia,42,1.4,NA,FALSE,FALSE,FALSE,FALSE,Nepal,middle,0
Netherlands,Europe,387,22.1,228.5,TRUE,TRUE,TRUE,TRUE,Netherlands,high,4
New Zealand,Oceania,101,19.6,NA,FALSE,FALSE,FALSE,FALSE,New Zealand,high,0
Nicaragua,Americas,21,3,0.1,FALSE,FALSE,FALSE,FALSE,Nicaragua,middle,0
Niger,Africa,14,0.5,NA,FALSE,FALSE,FALSE,FALSE,Niger,low,0
Nigeria,Africa,497,2.3,NA,TRUE,TRUE,TRUE,FALSE,Nigeria,middle,3
